City,Region,Country,AirQuality,WaterPollution
Mary,MaryRegion,Turkmenistan,100,0
BandaAceh,Aceh,Indonesia,71.42857143,12.5
Mecca,MeccaProvince,SaudiArabia,28.57142857,40.625
Tyumen,TyumenOblast,Russia,66.66666667,55
Xi'an,Shaanxi,People'sRepublicofChina,5.952380952,72.05882353
Toledo,Castile-LaMancha,Spain,75,50
Kabul,Kabul,Afghanistan,18.42105263,81.06060606
Vukovar,Vukovar-SyrmiaCounty,Croatia,25,75
Lhasa,Tibet,People'sRepublicofChina,12.5,50
HuntingtonBeach,California,UnitedStatesofAmerica,85.71428571,65.625
Binjai,NorthSumatra,Indonesia,75,0
Cuneo,Piedmont,Italy,82.5,0
Medan,NorthSumatra,Indonesia,20.83333333,43.33333333
Pematangsiantar,NorthSumatra,Indonesia,100,0
Hvar,Split-DalmatiaCounty,Croatia,75,25
Novara,Piedmont,Italy,65,0
Kemerovo,KemerovoOblast,Russia,40,60
Alessandria,Piedmont,Italy,35.71428571,56.25
Portland,Oregon,UnitedStatesofAmerica,74.12280702,36.34259259
Asti,Piedmont,Italy,62.5,50
Soest,NorthRhine-Westphalia,Germany,100,50
Brescia,Lombardy,Italy,22.65625,70.53571429
Coventry,England,UnitedKingdom,56.66666667,31.81818182
StAlbans,England,UnitedKingdom,62.5,18.75
Cremona,Lombardy,Italy,50,50
Monza,Lombardy,Italy,42.85714286,50
Varese,Lombardy,Italy,50,33.33333333
Indianapolis,Indiana,UnitedStatesofAmerica,67.44186047,50.65789474
Avignon,,France,57.14285714,66.66666667
Montpellier,,France,71.66666667,29.54545455
Antalya,AntalyaProvince,Turkey,67.1875,41.07142857
Varna,VarnaProvince,Bulgaria,40.10416667,48.88888889
Burgas,BurgasProvince,Bulgaria,46.42857143,46.73913043
Vicenza,Veneto,Italy,45,47.5
Orleans,,France,83.33333333,50
Irkutsk,IrkutskOblast,Russia,53.125,37.5
Gorizia,Friuli-VeneziaGiulia,Italy,90,25
Strasbourg,,France,68,47.36842105
Yakutsk,SakhaRepublic,Russia,58.33333333,87.5
Poitiers,,France,87.5,50
Pokhara,,Nepal,65.47619048,71.42857143
Lalitpur,Bagmati,Nepal,20.45454545,65
Perpignan,,France,95,50
Livorno,Tuscany,Italy,55.55555556,62.5
Herzogenrath,NorthRhine-Westphalia,Germany,75,50
Blagoveshchensk,AmurOblast,Russia,25,25
Hof,Bavaria,Germany,75,50
Dijon,,France,87.5,12.5
Lugano,Ticino,Switzerland,67.85714286,12.5
Nordhausen,Thuringia,Germany,100,50
Brühl,NorthRhine-Westphalia,Germany,75,50
Girona,Catalonia,Spain,100,0
Amberg,Bavaria,Germany,100,50
BadKreuznach,Rhineland-Palatinate,Germany,100,50
Padang,WestSumatra,Indonesia,68.75,25
Sevastopol,,Ukraine,75,56.25
Lutsk,VolynOblast,Ukraine,54.16666667,58.33333333
YogyakartaCity,SpecialRegionofYogyakarta,Indonesia,45.65217391,57.29166667
Jambi,Jambi,Indonesia,87.5,12.5
Pekanbaru,Riau,Indonesia,80,25
Yuzhno-Sakhalinsk,SakhalinOblast,Russia,8.333333333,75
Toulouse,,France,61.29032258,39.42307692
Casablanca,Casablanca-Settat,Morocco,22.6744186,60.57692308
Palembang,SouthSumatra,Indonesia,75,0
BandarLampung,Lampung,Indonesia,62.5,40
Biratnagar,ProvinceNo.1,Nepal,40,50
Dharan,ProvinceNo.1,Nepal,75,50
Valladolid,CastileandLeon,Spain,70,41.66666667
Ostrava,,CzechRepublic,28.84615385,25
Terni,Umbria,Italy,42.5,50
Miami,Florida,UnitedStatesofAmerica,70.2020202,47.36842105
Karachi,Sindh,Pakistan,21.96969697,83.11170213
Lagos,Lagos,Nigeria,20.60810811,80.51470588
RiodeJaneiro,RiodeJaneiro,Brazil,46.81208054,77.24137931
